step, x1, x2, y, phi1, phi2, Ax, Bx, Ay, By, C, taken_time
163, -0.176727, 0.176727, 0.199937, 2.062259, 2.062259, -0.353000, 0.353000, 0.295985, 0.295985, 1.178097, 1.044092
164, -0.173926, 0.173926, 0.202163, 2.053402, 2.053402, -0.353000, 0.353000, 0.297396, 0.297396, 1.178097, 1.036640
165, -0.171582, 0.171582, 0.204032, 2.046082, 2.046082, -0.353000, 0.353000, 0.298512, 0.298512, 1.178097, 1.057528
166, -0.169719, 0.169719, 0.205522, 2.040318, 2.040318, -0.353000, 0.353000, 0.299328, 0.299328, 1.178097, 1.021947
167, -0.168353, 0.168353, 0.206616, 2.036126, 2.036126, -0.353000, 0.353000, 0.299837, 0.299837, 1.178097, 1.017354
168, -0.167499, 0.167499, 0.207301, 2.033517, 2.033517, -0.353000, 0.353000, 0.300036, 0.300036, 1.178097, 1.006355
169, -0.167164, 0.167164, 0.207569, 2.032499, 2.032499, -0.353000, 0.353000, 0.299924, 0.299924, 1.178097, 0.934544
170, -0.167353, 0.167353, 0.207418, 2.033074, 2.033074, -0.353000, 0.353000, 0.299501, 0.299501, 1.178097, 0.899097
171, -0.168063, 0.168063, 0.206848, 2.035239, 2.035239, -0.353000, 0.353000, 0.298770, 0.298770, 1.178097, 0.975360
172, -0.169287, 0.169287, 0.205867, 2.038991, 2.038991, -0.353000, 0.353000, 0.297737, 0.297737, 1.178097, 1.016434
173, -0.171014, 0.171014, 0.204486, 2.044318, 2.044318, -0.353000, 0.353000, 0.296407, 0.296407, 1.178097, 1.023800
174, -0.173226, 0.173226, 0.202721, 2.051207, 2.051207, -0.353000, 0.353000, 0.294791, 0.294791, 1.178097, 1.030762
175, -0.175902, 0.175902, 0.200592, 2.059638, 2.059638, -0.353000, 0.353000, 0.292898, 0.292898, 1.178097, 1.038891
176, -0.179016, 0.179016, 0.198123, 2.069588, 2.069588, -0.353000, 0.353000, 0.290741, 0.290741, 1.178097, 1.045748
177, -0.182540, 0.182540, 0.195341, 2.081027, 2.081027, -0.353000, 0.353000, 0.288334, 0.288334, 1.178097, 1.053306
178, -0.186439, 0.186439, 0.192275, 2.093922, 2.093922, -0.353000, 0.353000, 0.285693, 0.285693, 1.178097, 1.033686
179, -0.190680, 0.190680, 0.188958, 2.108233, 2.108233, -0.353000, 0.353000, 0.282835, 0.282835, 1.178097, 1.041504
180, -0.195224, 0.195224, 0.185424, 2.123913, 2.123913, -0.353000, 0.353000, 0.279777, 0.279777, 1.178097, 1.023984
181, -0.200033, 0.200033, 0.181706, 2.140910, 2.140910, -0.353000, 0.353000, 0.276540, 0.276540, 1.178097, 1.033442
182, -0.205065, 0.205065, 0.177839, 2.159165, 2.159165, -0.353000, 0.353000, 0.273143, 0.273143, 1.178097, 1.014464
183, -0.210281, 0.210281, 0.173858, 2.178610, 2.178610, -0.353000, 0.353000, 0.269607, 0.269607, 1.178097, 1.026480
184, -0.215638, 0.215638, 0.169796, 2.199173, 2.199173, -0.353000, 0.353000, 0.265954, 0.265954, 1.178097, 1.007584
185, -0.221097, 0.221097, 0.165686, 2.220770, 2.220770, -0.353000, 0.353000, 0.262205, 0.262205, 1.178097, 1.025036
186, -0.226618, 0.226618, 0.161560, 2.243312, 2.243312, -0.353000, 0.353000, 0.258383, 0.258383, 1.178097, 1.008427
187, -0.232164, 0.232164, 0.157447, 2.266701, 2.266701, -0.353000, 0.353000, 0.254509, 0.254509, 1.178097, 0.990552
188, -0.237697, 0.237697, 0.153373, 2.290830, 2.290830, -0.353000, 0.353000, 0.250606, 0.250606, 1.178097, 1.005538
189, -0.243182, 0.243182, 0.149365, 2.315584, 2.315584, -0.353000, 0.353000, 0.246696, 0.246696, 1.178097, 0.983424
190, -0.248589, 0.248589, 0.145443, 2.340841, 2.340841, -0.353000, 0.353000, 0.242800, 0.242800, 1.178097, 0.970774
191, -0.253887, 0.253887, 0.141629, 2.366469, 2.366469, -0.353000, 0.353000, 0.238940, 0.238940, 1.178097, 0.982083
192, -0.259049, 0.259049, 0.137941, 2.392331, 2.392331, -0.353000, 0.353000, 0.235136, 0.235136, 1.178097, 0.960408
193, -0.264050, 0.264050, 0.134392, 2.418282, 2.418282, -0.353000, 0.353000, 0.231408, 0.231408, 1.178097, 0.972705
194, -0.268868, 0.268868, 0.130998, 2.444172, 2.444172, -0.353000, 0.353000, 0.227775, 0.227775, 1.178097, 0.956686
195, -0.273483, 0.273483, 0.127767, 2.469844, 2.469844, -0.353000, 0.353000, 0.224257, 0.224257, 1.178097, 0.934588
196, -0.277880, 0.277880, 0.124710, 2.495140, 2.495140, -0.353000, 0.353000, 0.220870, 0.220870, 1.178097, 0.948704
197, -0.282043, 0.282043, 0.121833, 2.519896, 2.519896, -0.353000, 0.353000, 0.217631, 0.217631, 1.178097, 0.926843
198, -0.285960, 0.285960, 0.119141, 2.543949, 2.543949, -0.353000, 0.353000, 0.214556, 0.214556, 1.178097, 0.936132
199, -0.289621, 0.289621, 0.116639, 2.567135, 2.567135, -0.353000, 0.353000, 0.211659, 0.211659, 1.178097, 0.916775
200, -0.293018, 0.293018, 0.114329, 2.589293, 2.589293, -0.353000, 0.353000, 0.208955, 0.208955, 1.178097, 0.889302
201, -0.296144, 0.296144, 0.112212, 2.610265, 2.610265, -0.353000, 0.353000, 0.206455, 0.206455, 1.178097, 0.899588
202, -0.298995, 0.298995, 0.110291, 2.629897, 2.629897, -0.353000, 0.353000, 0.204171, 0.204171, 1.178097, 0.869783
